tissue	gene_id	outcome	n_snps	PP0	PP1	PP2	PP3	PP4	gene_name	is_mito
Brain_Cerebellar_Hemisphere	ENSG00000160957.15	ADHD	69	8.18804922851522e-09	0.000104568971127278	2.20192784036338e-06	0.0271479122909248	0.972745308622058	RECQL4	TRUE
Brain_Caudate_basal_ganglia	ENSG00000160957.15	ADHD	38	5.93943586505737e-05	6.69773345477875e-05	0.0140822562645201	0.0149092790948413	0.970882092947441	RECQL4	TRUE
Brain_Cortex	ENSG00000160957.15	ADHD	32	0.000242071497802365	2.33425236556002e-05	0.0332308740320633	0.00224013045180456	0.964263581494675	RECQL4	TRUE
Brain_Cerebellar_Hemisphere	ENSG00000160957.15	F3	31	8.31997933320919e-05	0.0366322048712846	6.14251444209365e-06	0.00174296458870252	0.961535488232239	RECQL4	TRUE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000139531.13	ADHD	33	0.00635221628817368	0.0426235823713275	0.00912966760489494	0.060378857321994	0.88151567641361	SUOX	TRUE
Brain_Amygdala	ENSG00000139531.13	ADHD	46	0.00141464961274623	0.0325871825119823	0.00384137404104333	0.0876134864098856	0.874543307424343	SUOX	TRUE
Brain_Substantia_nigra	ENSG00000139531.13	ADHD	45	0.00433704379801948	0.0355544960270248	0.0117857218796732	0.0957651897607766	0.852557548534506	SUOX	TRUE
Brain_Caudate_basal_ganglia	ENSG00000139531.13	ADHD	81	2.84015435963402e-06	0.0445037503273502	6.69251747596657e-06	0.104016818616125	0.851469898384689	SUOX	TRUE
Brain_Spinal_cord_cervical_c-1	ENSG00000139531.13	ADHD	65	1.59656747641689e-09	0.0395698609498396	4.49198239683164e-09	0.110480840954745	0.849949292006864	SUOX	TRUE
Brain_Putamen_basal_ganglia	ENSG00000139531.13	ADHD	155	9.17279018051433e-09	0.0412324193998284	2.58876757823174e-08	0.115523912285212	0.843243633254494	SUOX	TRUE
Brain_Frontal_Cortex_BA9	ENSG00000139531.13	ADHD	65	0.000102628033409046	0.0430447646738942	0.000275145351629951	0.114560827194698	0.842016634746368	SUOX	TRUE
Brain_Cortex	ENSG00000139531.13	ADHD	68	3.43711023715495e-06	0.0441544802353879	9.21411315490732e-06	0.117529846124218	0.838303022417001	SUOX	TRUE
Brain_Hippocampus	ENSG00000139531.13	ADHD	62	2.95888979050674e-10	0.0427585832066677	8.32406132157069e-10	0.119452283779153	0.837789131885884	SUOX	TRUE
Brain_Cerebellum	ENSG00000139531.13	ADHD	213	1.29741168380887e-40	0.0429356863203396	3.66150311520613e-40	0.120334638810046	0.836729674869618	SUOX	TRUE
Brain_Hypothalamus	ENSG00000139531.13	ADHD	55	2.25154153272361e-07	0.0445707258742922	6.33431743701376e-07	0.124561057233185	0.830867358306626	SUOX	TRUE
Brain_Cerebellar_Hemisphere	ENSG00000139531.13	ADHD	68	6.7373763582223e-19	0.0457017574499546	1.91534417392559e-18	0.129098661304311	0.825199581245738	SUOX	TRUE
Brain_Nucleus_accumbens_basal_ganglia	ENSG00000139531.13	ADHD	145	2.1766421509792e-12	0.0546392098657637	6.12990101723371e-12	0.153083704773363	0.792277085352569	SUOX	TRUE
Brain_Hippocampus	ENSG00000175806.15	ASD	130	0.0027956514441396	0.0186950574223295	0.0276729749184811	0.184287942676187	0.766548373538862	MSRA	TRUE
Brain_Cerebellar_Hemisphere	ENSG00000178057.15	ADHD	52	0.184809191886296	0.0448658261918624	0.0883806465574403	0.0207948760050568	0.661149459359345	NDUFAF3	TRUE
Brain_Substantia_nigra	ENSG00000145020.16	ADHD	186	0.0412338724868258	0.232004525630781	0.0209221539961085	0.117130877786777	0.588708570099508	AMT	TRUE
Brain_Anterior_cingulate_cortex_BA24	ENSG00000168268.11	ASD	33	0.0726267642880584	0.366284831711802	0.00349001023612903	0.0170609325277438	0.540537461236266	NT5DC2	TRUE
Brain_Cerebellum	ENSG00000175806.15	ASD	116	0.00171392612303621	0.424434274884636	0.0001500723133032	0.0366266232736675	0.537075103405358	MSRA	TRUE
Brain_Putamen_basal_ganglia	ENSG00000176623.12	ADHD	346	8.41160392014213e-21	0.384165312146274	2.02607214759037e-21	0.0920086619989466	0.523826025854782	RMDN1	TRUE
Brain_Amygdala	ENSG00000145020.16	ADHD	134	0.164855973953453	0.21986614654715	0.0426761993289365	0.0564004592476912	0.516201220922769	AMT	TRUE
Brain_Cortex	ENSG00000178057.15	ADHD	225	0.104941900218989	0.216568782641032	0.0562291119781736	0.115533389712723	0.506726815449082	NDUFAF3	TRUE
Brain_Caudate_basal_ganglia	ENSG00000176623.12	ADHD	437	3.59641702903279e-28	0.38620843869274	1.0061958975244e-28	0.107546114294609	0.506245447012647	RMDN1	TRUE
