outcome	n_panels	naive_beta	naive_p	corr70_beta	corr70_se	corr70_p	corr55_p	corr90_p
SCZ	4	-0.0474	0.137	-0.0474	0.0557	0.395	0.358	0.436
BD	4	0.0161	0.519	0.0161	0.0426	0.706	0.684	0.729
MDD	4	-0.0048	0.656	-0.0048	0.0188	0.798	0.782	0.815
ADHD	4	-0.0793	0.0186	-0.0793	0.0582	0.173	0.141	0.212
ASD	4	-0.1818	1.74e-06	-0.1818	0.0661	0.00597	0.00297	0.0118
F3	4	-0.0866	7.39e-06	-0.0866	0.0338	0.0104	0.0056	0.0189
ANX	4	-0.0051	0.78	-0.0051	0.0317	0.871	0.861	0.882
OCD	4	-0.0127	0.671	-0.0127	0.0517	0.807	0.791	0.822
PTSD	4	0.0036	0.506	0.0036	0.0094	0.7	0.677	0.724
AN	4	0.0249	0.517	0.0249	0.0668	0.709	0.687	0.733
BPD	4	-0.0467	0.343	-0.0467	0.0855	0.585	0.555	0.617
TS	4	0.1429	0.0469	0.1429	0.1247	0.252	0.216	0.294
PPD	4	0.0256	0.472	0.0256	0.0616	0.678	0.654	0.703
F1	4	-0.0024	0.914	-0.0024	0.0392	0.95	0.946	0.954
F2	4	0.0051	0.806	0.0051	0.036	0.888	0.879	0.897
F4	4	0.0055	0.483	0.0055	0.0135	0.686	0.662	0.711
F5	4	0.0246	0.0325	0.0246	0.0199	0.217	0.182	0.257
PFactor	4	0.0024	0.742	0.0024	0.0127	0.85	0.838	0.862
BMI	4	0	0.999	0	0.0223	1	1	1
Height	4	-0.0113	0.512	-0.0113	0.0301	0.706	0.684	0.73
